Adams County,Pennsylvania,Adams County Director of Elections & Voter Reg,(717) 337-9832,http://www.adamscounty.us/CountyOffices/Administrative/ElectionsVoterRegistration.aspx,ocd-division/country:us/state:pa/county:adams
Allegheny County,Pennsylvania,"Allegheny County Division Manager, Allegheny County Elections Division",(412) 350-4500,http://www.alleghenycounty.us/,ocd-division/country:us/state:pa/county:allegheny
Armstrong County,Pennsylvania,Armstrong County Director of Elections,(724) 548-3222,http://www.co.armstrong.pa.us/,ocd-division/country:us/state:pa/county:armstrong
Beaver County,Pennsylvania,Beaver County Director of Elections,(724) 770-4440,http://www.beavercountypa.gov/,ocd-division/country:us/state:pa/county:beaver
Bedford County,Pennsylvania,Bedford County Director of Election/Chief Clerk,(814) 624-2608,http://www.bedfordcounty.net/,ocd-division/country:us/state:pa/county:bedford
Berks County,Pennsylvania,Berks County Director,(610) 478-6490,http://www.countyofberks.com/elections/,ocd-division/country:us/state:pa/county:berks
Blair County,Pennsylvania,Blair County Director of Elections,(814) 693-3150,http://www.blairco.org/,ocd-division/country:us/state:pa/county:blair
Bradford County,Pennsylvania,Bradford County Director of Elections,(570) 265-1717,http://www.bradfordcountypa.org/,ocd-division/country:us/state:pa/county:bradford
Bucks County,Pennsylvania,"Bucks County Director, Bucks Co. Board of Elections/Registration",(215) 348-6163,http://www.buckscounty.org/,ocd-division/country:us/state:pa/county:bucks
Butler County,Pennsylvania,Butler County Director of Elections/Voter Registration,(724) 284-5308,http://www.co.butler.pa.us/,ocd-division/country:us/state:pa/county:butler
Cambria County,Pennsylvania,"Cambria County Director of Elec./Chief Registrar, Cambria County",(814) 472-1464,http://www.co.cambria.pa.us/cambria/site/default.asp,ocd-division/country:us/state:pa/county:cambria
Cameron County,Pennsylvania,Cameron County Secretary to the Commissioners,(814) 486-2315,http://www.cameroncountypa.com/,ocd-division/country:us/state:pa/county:cameron
Carbon County,Pennsylvania,Carbon County Director,(570) 325-4801,http://www.carboncounty.com/,ocd-division/country:us/state:pa/county:carbon
